Latitude,Longitude
46.92333801,-81.63357044
45.22468679,-78.59121587
49.46380731,-84.68913577
44.45900348,-80.34567726
42.69422107,-80.34656731
44.02831222,-80.06886604
43.05502609,-79.13261825
43.57814454,-79.97712757
43.27694169,-79.97940294
44.35393496,-80.36799646
45.32358054,-78.0216992
49.68147175,-94.2352383
44.04699032,-80.06206764
48.65810286,-91.15420179
42.31560733,-81.84628634
46.5860272,-82.74353306
49.47039843,-91.54289005
44.7767121,-81.03976892
43.81011668,-80.0019456
44.72036639,-80.97571859
45.22153719,-78.59136657
45.16442377,-76.67192774
45.20149704,-81.57321123
43.83367872,-79.3797514
49.68432565,-94.2230074
44.50959359,-80.36338468
43.3174878,-79.89228052
45.28803951,-78.53800076
44.60908171,-78.04309644
43.97413481,-79.9846273
44.7723294,-81.07522683
45.2536439,-78.51871655
42.04142265,-82.51345842
42.68917237,-80.34817751
44.95379352,-81.16642498
43.27917879,-79.97390174
44.31193675,-78.33789021
49.46868513,-91.54836075
44.76714002,-76.25520847
43.23787708,-80.00138594
43.61978298,-81.49551405
43.2479169,-81.84423282
42.30242643,-81.84413004
43.87369305,-78.78390171
43.34866771,-79.86223221
43.27496349,-79.96202483
45.92433951,-80.55625058
48.34484658,-88.79845461
43.14830879,-79.47484267
46.5840596,-82.70547545
43.27390749,-79.95740353
43.35219151,-79.86186861
43.13556595,-80.23331871
44.3154897,-79.39952615
43.23424658,-80.00832305
43.36082517,-80.70703798
43.21818168,-79.99984454
43.55690534,-79.98399277
45.16148875,-81.34002115
43.50093791,-80.47719402
44.70494949,-80.97418389
44.61646258,-80.90750116
43.54241016,-81.57257457
43.96324453,-79.52037016
44.4768249,-77.89209418
43.27668079,-79.98023064
43.20917889,-79.77371607
43.28139109,-80.01434255
43.20143669,-79.81880018
44.03189115,-79.34715531
45.2605422,-78.49031154
48.4763137,-88.82193984
44.89980981,-81.14236046
45.18302275,-81.33453715
48.77981909,-86.61455339
45.24576059,-78.62234158
43.12670563,-80.77931558
48.36277458,-88.80153082
45.32041974,-78.0231568
43.22864288,-80.00334474
43.2521571,-81.82640832
43.23636088,-79.99820184
43.60414405,-79.98433467
45.23071669,-78.57553887
44.53835097,-80.78194581
48.36256918,-88.80356132
45.2304564,-78.54486956
44.66765668,-80.97993719
43.23506128,-80.00322284
48.4219209,-88.76169311
45.19180484,-81.57756923
44.38235166,-78.37367202
44.95882392,-81.14390577
43.34817761,-79.85934001
43.63458618,-81.48063255
43.76798258,-79.94306157
44.59274918,-80.74490401
43.27762619,-79.94966763
42.30251899,-82.60352537
48.4343706,-88.75303781
43.09849699,-79.22916459
48.21182101,-91.01153877
45.29343221,-78.54048656
48.35543978,-88.80278792
44.43670269,-77.88098387
43.65497428,-81.47829365
47.44491612,-84.7196626
44.33517606,-80.37778946
43.19566289,-79.62369122
43.87110745,-78.78009661
42.04186585,-82.51251082
44.40431731,-81.48951672
43.23656388,-79.99957754
43.65131178,-81.48946275
43.99511332,-77.73052688
42.68859357,-80.34818421
49.38843036,-82.13569192
45.2630222,-78.50515655
48.79656985,-87.28959421
43.81322739,-79.93316177
43.2736498,-81.80309021
44.52625836,-80.93398476
44.08750337,-79.13147864
48.93987737,-82.53527879
47.35211121,-84.58743324
46.79756114,-84.32994509
45.15807797,-78.84463495
43.43173219,-80.56844174
43.29244647,-80.38563377
43.37937649,-80.35269137
43.68494519,-81.57355088
44.88899254,-76.20395526
45.13617619,-76.15076666
43.26527919,-79.99054764
43.24728879,-79.99495534
43.95424024,-81.34623493
44.38848316,-80.39864558
43.60934886,-79.7707721
43.192461,-79.39542745
49.0581255,-93.91350699
45.13977747,-76.58967191
41.96801554,-82.53105452
41.93102843,-82.51539581
43.50627753,-79.96378186
42.26197737,-82.98075939
43.10814379,-79.28716661
43.50977031,-80.48424532
43.39824349,-80.48207811
47.75276116,-84.82844697
43.95755893,-79.51222925
45.39247319,-79.21403859
44.52758927,-76.52907184
43.02781448,-79.21092928
44.34528076,-78.28772169
50.77323834,-93.43879378
44.29963491,-79.20826969
44.34542996,-78.28706789
43.87567475,-78.80289792
43.45980322,-80.02975207
46.79696604,-84.33420189
46.90304921,-81.63250834
48.39148265,-90.74907512
43.94907453,-79.53365686
44.27301553,-80.67400185
44.25641312,-80.78639709
44.61940718,-80.94767597
45.19385969,-76.30070322
45.81230666,-77.14917895
43.96852793,-79.56300117
44.06635886,-79.30110289
44.42085727,-78.37845803
45.221326,-76.19638259
48.99079391,-88.25943905
43.26934509,-79.86992091
45.18635697,-76.69685955
48.68542884,-85.66906187
43.23997918,-79.99276724
43.95405763,-79.53497426
44.85254977,-79.86579305
42.8240971,-80.2972428
43.26555729,-79.90855202
43.4793833,-80.62908446
47.75289266,-84.82541427
43.24886069,-79.99335414
43.81446762,-79.15359312
43.64689383,-80.52411815
45.09593024,-76.99109334
43.35733253,-81.45638661
46.63847221,-82.80418438
44.40570981,-81.48068602
45.17144627,-78.83279175
43.63695355,-79.97948857
45.03742933,-74.66627916
47.79172036,-84.8960853
42.85619268,-80.72353994
43.16391076,-80.2133617
44.51648596,-76.54302974
48.4593326,-88.73811451
43.21276309,-79.75838086
43.3229717,-79.90100732
48.70689,-86.38636721
44.36258765,-80.50952001
44.46755918,-75.98957706
43.18965776,-80.25790082
44.58749797,-80.86313124
43.30402998,-80.39309437
44.02222406,-79.16395445
43.84782233,-79.19987724
44.26020822,-80.78480359
43.36601659,-80.26812114
45.09206636,-76.53089829
45.35482314,-80.1967312
45.49096059,-75.16697867
43.60654326,-79.7604403
44.82706929,-81.31365991
44.96717503,-76.69856783
45.11521179,-76.08436214
43.09035099,-79.30514051
44.06233499,-78.60116677
45.15897417,-78.84590445
46.78861914,-84.3456593
44.57018077,-80.98032318
49.76054564,-94.52768811
43.82568602,-81.45684256
43.82499042,-79.19629104
43.2669421,-79.77677728
45.15004357,-78.86644135
43.53809506,-81.60954298
43.24564018,-79.99581624
43.42659753,-79.68229876
44.14786731,-78.44645583
44.17174191,-80.74588187
43.81334642,-79.15666633
45.39145639,-79.21427569
43.43156833,-79.67939266
43.14525013,-80.76794228
45.34600109,-79.03513283
44.54676229,-80.4196947
43.42509464,-81.59315496
43.37611759,-80.33958056
49.6869007,-86.89962962
43.24159958,-80.00121264
47.43300611,-84.7309913
43.09035099,-79.30514051
42.26418966,-83.07482162
44.55160326,-80.95871917
44.30268781,-79.22171159
44.07610169,-80.86140929
45.14949817,-78.85491095
45.38883429,-79.19293088
44.29294353,-80.79683519
44.16294807,-77.35431188
44.38024546,-80.53523112
43.37125061,-79.85895271
43.63234018,-79.41072399
44.26211902,-80.80844389
44.50497958,-76.03127047
45.20230482,-78.02521098
43.81172622,-79.15646223
43.74553269,-81.70077093
46.78665124,-84.3495482
43.72245357,-79.95758857
45.16100337,-78.84771695
43.1410027,-79.36487383
43.4240476,-80.31473456
44.30273751,-79.17378737
45.39053199,-79.20399419
43.7342277,-79.35724258
43.4198718,-80.30264056
44.15347245,-79.9087238
43.18838509,-79.5726868
44.92830303,-76.54172187
44.56235437,-76.47130382
43.77247003,-80.91689978
43.94477294,-79.3446587
43.39167351,-79.97422305
43.24415109,-79.90682231
43.3009007,-79.86791041
47.85318747,-84.88428491
43.66142758,-81.66077631
43.36944959,-80.36407407
45.07509425,-76.72279525
45.35074114,-80.04623116
43.34732971,-79.86047901
47.54168293,-84.81226034
45.12692386,-76.63409292
45.03733202,-81.38538295
48.70090364,-85.64884497
42.08770846,-82.4408614
48.68933164,-85.65602827
42.08391636,-82.44512231
43.39853959,-80.49481351
44.91982777,-78.05379047
47.36219471,-84.64842876
43.83237751,-79.59295367
48.39172285,-90.74864722
44.13360561,-78.45521393
43.81448172,-79.15434913
43.04388199,-79.12291645
43.7452117,-79.34148358
44.8018648,-81.08899834
44.35313675,-80.46208729
45.17832868,-76.49983728
44.30597391,-79.20936789
44.13360561,-78.45521393
45.38980729,-79.20138269
45.14897637,-78.84723725
45.2137883,-76.21985439
45.38965609,-79.20241389
44.77903262,-76.23109176
45.39169989,-79.21529409
44.48547798,-78.23040609
49.43603875,-82.41933042
44.28539885,-80.32952194
43.80438752,-79.13715082
43.24655679,-79.97855034
44.38461545,-80.65208646
43.60428937,-81.53220226
44.20932538,-79.36471933
43.73310702,-81.08395953
44.62055161,-78.13230387
45.39008059,-79.19675318
44.60993581,-78.04175574
41.93207023,-82.51297121
44.50500128,-76.03144667
43.48498394,-79.77351529
44.55289859,-78.36154094
45.13042529,-76.15257596
43.21754519,-79.76784287
44.17545271,-80.71474936
45.93311941,-80.57491429
41.93269533,-82.51354071
46.58767438,-81.38033752
43.65964199,-79.31093986
45.22338939,-78.54611756
44.18819148,-79.31630461
43.3959423,-80.28577405
44.78102502,-76.21617506
44.61917488,-80.89379126
